,实体,属性,值
277,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,旅游
278,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,地理
279,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,地点
280,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,地形地貌
281,嘉峪关关城,景点级别,国家AAAAA级旅游景区
282,嘉峪关关城,所属国家,中国
283,嘉峪关关城,标签,地点
284,晋祠,批准单位,国务院
285,晋祠,标签,遗址
286,晋祠,标签,旅游
287,武当山[湖北省十堰市武当山],主峰,天柱峰
288,武当山[湖北省十堰市武当山],景点级别,国家AAAAA级旅游景区
289,武当山[湖北省十堰市武当山],所属国家,中国
290,武当山[湖北省十堰市武当山],标签,旅游
291,武当山[湖北省十堰市武当山],标签,山脉
292,百脉泉,景点级别,国家AAAA级旅游景区
293,百脉泉,标签,旅游
294,百脉泉,标签,地点
295,大明湖[济南大明湖],气候类型,温带季风气候
296,大明湖[济南大明湖],景点级别,国家AAAAA级旅游景区
297,大明湖[济南大明湖],著名景点,历下亭
298,大明湖[济南大明湖],著名景点,铁公祠
299,大明湖[济南大明湖],著名景点,南丰祠
300,大明湖[济南大明湖],著名景点,汇波楼
301,大明湖[济南大明湖],景点类型,湖泊
302,大明湖[济南大明湖],标签,旅游
303,鼎湖山,所属山系,泥盆纪
304,鼎湖山,标签,旅游
305,鼎湖山,标签,山脉
306,鼎湖山,标签,地形地貌
307,黄果树瀑布[中国贵州省瀑布],开放时间,全天
308,黄果树瀑布[中国贵州省瀑布],著名景点,坝陵河大桥
309,黄果树瀑布[中国贵州省瀑布],标签,自然资源
310,黄果树瀑布[中国贵州省瀑布],标签,旅游
311,黄果树瀑布[中国贵州省瀑布],标签,地理
312,喀纳斯湖,方言,哈萨克语
313,喀纳斯湖,气候条件,温带大陆性气候
314,喀纳斯湖,机场,喀纳斯机场
315,喀纳斯湖,适宜游玩季节,春夏秋冬
316,喀纳斯湖,标签,旅游
317,喀纳斯湖,标签,地形地貌
318,贵州威宁草海国家级自然保护区,气候类型,温带气候
319,贵州威宁草海国家级自然保护区,所属国家,中国
320,贵州威宁草海国家级自然保护区,标签,旅游
321,草海湖,建立时间,1985年
322,草海湖,标签,旅游
323,草海湖,标签,地点
324,草海湖,标签,地形地貌
325,木渎古镇,气候类型,亚热带季风性湿润气候
326,木渎古镇,标签,行政区划
327,木渎古镇,标签,旅游
328,沂蒙山,景点级别,国家AAAAA级旅游景区
329,中央大街[黑龙江省哈尔滨市中央大街],开放时间,全天
330,中央大街[黑龙江省哈尔滨市中央大街],门票价格,免费
331,中央大街[黑龙江省哈尔滨市中央大街],始建时间,1898年
332,中央大街[黑龙江省哈尔滨市中央大街],所属国家,中国
333,中央大街[黑龙江省哈尔滨市中央大街],标签,旅游
334,花果山[江苏连云港花果山国家5A级旅游景区],气候类型,温带季风气候
335,花果山[江苏连云港花果山国家5A级旅游景区],开放时间,全年
336,花果山[江苏连云港花果山国家5A级旅游景区],景点级别,国家AAAAA级旅游景区
337,花果山[江苏连云港花果山国家5A级旅游景区],别名,苍梧山
338,花果山[江苏连云港花果山国家5A级旅游景区],别名,青峰顶
339,花果山[江苏连云港花果山国家5A级旅游景区],所属国家,中国
340,花果山[江苏连云港花果山国家5A级旅游景区],标签,山脉
341,花果山[江苏连云港花果山国家5A级旅游景区],标签,地形地貌
342,花果山[江苏连云港花果山国家5A级旅游景区],标签,公园
343,吉林雾凇[吉林市自然景观],类别,自然奇观
344,吉林雾凇[吉林市自然景观],标签,自然现象
345,吉林雾凇[吉林市自然景观],标签,旅游
346,八里沟,气候类型,暖温带大陆性季风气候
347,八里沟,景点级别,国家AAAA级景区
348,八里沟,著名景点,一线天
349,八里沟,所属城市,河南省新乡市
350,八里沟,所属国家,中国
351,八里沟,建议游玩时长,一天
352,八里沟,标签,地理
353,八里沟,标签,地点
354,五岳[中国五岳],东岳,泰山
355,五岳[中国五岳],南岳,衡山
356,五岳[中国五岳],西岳,华山
357,五岳[中国五岳],北岳,恒山
358,五岳[中国五岳],中岳,嵩山
359,五岳[中国五岳],标签,旅游
360,五岳[中国五岳],标签,地理
361,五岳[中国五岳],标签,地点
362,五岳[中国五岳],标签,地形地貌
363,龙塔[哈尔滨著名建筑],外文名称,Dragon Tower
364,龙塔[哈尔滨著名建筑],地理位置,中国哈尔滨
365,龙塔[哈尔滨著名建筑],建筑材质,钢
366,龙塔[哈尔滨著名建筑],所属国家,中国
367,龙塔[哈尔滨著名建筑],标签,旅游
368,龙塔[哈尔滨著名建筑],标签,地点
369,葫芦岛[辽宁省地级市],气候条件,温带季风性气候
370,葫芦岛[辽宁省地级市],机场,锦州湾国际机场
371,葫芦岛[辽宁省地级市],原名,锦西市
372,葫芦岛[辽宁省地级市],标签,地理
373,千佛山[山东济南千佛山],气候类型,温带季风气候
374,千佛山[山东济南千佛山],景点级别,国家AAAA级旅游景区
375,千佛山[山东济南千佛山],所属国家,中国
376,千佛山[山东济南千佛山],标签,山脉
377,千佛山[山东济南千佛山],标签,地理
378,千佛山[山东济南千佛山],标签,地点
379,千佛山[山东济南千佛山],标签,地形地貌
